Vehicles with similar trajectories (Hausdorff distance < 100.0 m):
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-00c5-7b50-8b40-6f401c35634b: Hausdorff distance = 75.1 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-262d-7401-a63d-0b0d37e41abc: Hausdorff distance = 9.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-62f3-7712-8851-73635a228fe3: Hausdorff distance = 17.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-6bfb-70a0-bb48-4e57f9cfabe8: Hausdorff distance = 85.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-7598-79c3-b592-3a4b64cc8fc2: Hausdorff distance = 94.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-ab76-7f40-a095-6d66e3c67769: Hausdorff distance = 93.6 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-b9df-7c13-b505-ac9b31019ec4: Hausdorff distance = 70.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-c146-7961-aa30-c82bd3c236bf: Hausdorff distance = 69.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-db32-7772-8669-dedd0e996cba: Hausdorff distance = 60.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-dc54-7392-977a-76c1866ace13: Hausdorff distance = 92.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-deff-78e3-8c24-0a0c4f2896d9: Hausdorff distance = 74.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-e89b-7100-8c32-e387f1b2f331: Hausdorff distance = 75.1 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-f429-7f51-81ed-87539f0dd205: Hausdorff distance = 21.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-fbf6-7fb3-b088-219fc9373f24: Hausdorff distance = 22.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fc-fd10-79e0-b759-9652f4e55f13: Hausdorff distance = 53.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-11ed-7cf3-af4e-bc57d0db8214: Hausdorff distance = 69.2 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-2379-7bb2-bbba-85a31bfc592a: Hausdorff distance = 97.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-3019-7723-ada8-c13c557c1aeb: Hausdorff distance = 74.9 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-37d6-78d2-9651-86f23f2f7833: Hausdorff distance = 84.2 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-3cd8-7240-81cd-ec9787c9838e: Hausdorff distance = 74.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-4052-7fd1-9467-9ee193b339de: Hausdorff distance = 75.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-693b-7b63-abd1-659e5875a378: Hausdorff distance = 45.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-9263-7bd0-833f-461c7b3c8e90: Hausdorff distance = 55.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-9d97-7241-883f-8dc672cef8bc: Hausdorff distance = 75.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-a48a-7f73-86ce-463ab5f326b3: Hausdorff distance = 22.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fd-cfd1-7293-a908-6271619b537f: Hausdorff distance = 96.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-134d-7e20-aebd-e49cd353b5e9: Hausdorff distance = 58.6 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-19ae-7d91-9f33-708a8cc5b18d: Hausdorff distance = 75.2 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-1ce1-76c0-a21c-b766491d763c: Hausdorff distance = 74.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-2892-7211-af40-77c4990ea5de: Hausdorff distance = 74.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-2c2a-7003-b898-0806afcda0b2: Hausdorff distance = 93.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-44ab-7751-8283-23c18a7a5e2b: Hausdorff distance = 87.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-721f-7853-aaba-e97957b4d64b: Hausdorff distance = 60.6 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-7252-7da0-bbe4-8c71dbf2622e: Hausdorff distance = 72.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-9edd-7101-903f-769b0259158c: Hausdorff distance = 60.6 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-a620-7bd0-a2d0-0864f73853bf: Hausdorff distance = 26.0 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-ac8b-75f3-a674-9ef2a9992525: Hausdorff distance = 99.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-b178-7ce0-a637-275c8362a4a4: Hausdorff distance = 15.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-ba06-7362-a5f9-1a187b3f5dde: Hausdorff distance = 74.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-cde2-7b41-b76b-07bf82e9e001: Hausdorff distance = 86.7 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-dbac-7ef3-bc19-3775eecddaa6: Hausdorff distance = 69.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-e23e-7e43-87f6-f43210d49d91: Hausdorff distance = 63.4 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-f663-75b3-a52b-b8c4e4b67152: Hausdorff distance = 35.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5fe-f9b9-7f11-a9a0-204bc6a51e0f: Hausdorff distance = 66.5 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-09d7-77c2-b83a-074f86574eea: Hausdorff distance = 54.2 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-2535-74a2-8245-d215e93b3174: Hausdorff distance = 60.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-2b5b-70b2-8a45-26006431f4fa: Hausdorff distance = 64.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-3470-7951-b350-0fe3d6dfa19c: Hausdorff distance = 26.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-4c07-73b0-8afc-2f745e38e6a8: Hausdorff distance = 21.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-544f-74f2-81bf-8717ef6b7528: Hausdorff distance = 93.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-6a8a-7a82-87b3-e631fa0cef63: Hausdorff distance = 73.8 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-7dba-7471-9f6b-e68a2e57fbd0: Hausdorff distance = 23.3 m
Vehicle 0195f5f9-6666-7203-b3df-32d42e839644 and Vehicle 0195f5ff-847f-7860-824f-6518b23cb1d3: Hausdorff distance = 62.7 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-8ca8-7a13-b5c2-df800e29d282: Hausdorff distance = 48.4 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-a216-7513-a8c7-304441f8433c: Hausdorff distance = 65.1 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-a221-7363-9f4c-0ce5dbf0e70f: Hausdorff distance = 75.2 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-ab71-7903-8c83-246ce6358a6f: Hausdorff distance = 37.8 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-b320-7881-97a1-4c04697a9d38: Hausdorff distance = 71.0 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-b36f-73c2-bc41-f6c0efdb79e6: Hausdorff distance = 62.1 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-b741-7383-be09-a255153acaf3: Hausdorff distance = 62.2 m
Vehicle 0195f5f9-80fc-79a0-90d4-bc8c822a6f07 and Vehicle 0195f5f9-df6c-7a10-94cc-cb7a4ebfdb65: Hausdorff distance = 66.7 m
